,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,place,square
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,leurs,their
39,39,donné,given
40,40,corps,body
41,41,yeux,eyes
42,42,façon,way
43,43,écoute,listen
44,44,dont,whose
45,45,trouve,find
46,46,premier,first
47,47,perdu,lost
48,48,main,hand
49,49,première,first
50,50,côté,side
51,51,pouvoir,power
52,52,vieux,old
53,53,sois,be
54,54,tiens,here
55,55,matin,morning
56,57,enfant,child
57,58,venu,came
58,59,suite,after
59,60,pardon,sorry
60,61,devant,in front of
61,62,vers,towards
62,63,minutes,minutes
63,64,demandé,request
64,65,chambre,bedroom
65,66,mis,placed
66,67,belle,beautiful
67,68,droit,law
68,69,aimerais,would like to
69,70,aujourd'hui,today
70,71,mari,husband
71,72,cause,cause
72,73,espère,hope
73,74,eau,water
74,75,attendez,Wait
75,76,parti,left
76,77,nouvelle,new
77,78,boulot,job
78,79,arrêter,Stop
79,80,dirait,would say
80,81,terre,Earth
81,82,compte,account
82,83,donne,given
83,84,loin,far
84,85,fin,end
85,86,croire,believe
86,87,chérie,sweetheart
87,88,gros,large
88,89,plutôt,rather
89,90,aura,will have
90,91,filles,girls
91,92,jouer,to play
92,93,bureau,office
